Gene	gene_short_name
0610005C13Rik	0610005C13Rik
0610007P14Rik	0610007P14Rik
0610009B22Rik	0610009B22Rik
0610009E02Rik	0610009E02Rik
0610009L18Rik	0610009L18Rik
0610009O20Rik	0610009O20Rik
0610010F05Rik	0610010F05Rik
0610010K14Rik	0610010K14Rik
0610012G03Rik	0610012G03Rik
0610025J13Rik	0610025J13Rik
0610030E20Rik	0610030E20Rik
0610033M10Rik	0610033M10Rik
0610037L13Rik	0610037L13Rik
0610039K10Rik	0610039K10Rik
0610040B10Rik	0610040B10Rik
0610040F04Rik	0610040F04Rik
0610040J01Rik	0610040J01Rik
0610043K17Rik	0610043K17Rik
1010001B22Rik	1010001B22Rik
1110002E22Rik	1110002E22Rik
1110002J07Rik	1110002J07Rik
1110002L01Rik	1110002L01Rik
1110003F10Rik	1110003F10Rik
1110004E09Rik	1110004E09Rik
1110004F10Rik	1110004F10Rik
1110006O24Rik	1110006O24Rik
1110008F13Rik	1110008F13Rik
1110008L16Rik	1110008L16Rik
1110008P14Rik	1110008P14Rik
1110012L19Rik	1110012L19Rik
1110015O18Rik	1110015O18Rik
1110017D15Rik	1110017D15Rik
1110018N20Rik	1110018N20Rik
1110019D14Rik	1110019D14Rik
1110020A21Rik	1110020A21Rik
1110025M09Rik	1110025M09Rik
1110032A03Rik	1110032A03Rik
1110032F04Rik	1110032F04Rik
1110034G24Rik	1110034G24Rik
1110035H17Rik	1110035H17Rik
1110037F02Rik	1110037F02Rik
1110038B12Rik	1110038B12Rik
1110038F14Rik	1110038F14Rik
1110046J04Rik	1110046J04Rik
1110051M20Rik	1110051M20Rik
1110059E24Rik	1110059E24Rik
1110059G10Rik	1110059G10Rik
1110060G06Rik	1110060G06Rik
1110065P20Rik	1110065P20Rik
1190002N15Rik	1190002N15Rik
1190005I06Rik	1190005I06Rik
1190007I07Rik	1190007I07Rik
1300002E11Rik	1300002E11Rik
1500002C15Rik	1500002C15Rik
1500002F19Rik	1500002F19Rik
1500004A13Rik	1500004A13Rik
1500009C09Rik	1500009C09Rik
1500009L16Rik	1500009L16Rik
1500011B03Rik	1500011B03Rik
1500011K16Rik	1500011K16Rik
1500015A07Rik	1500015A07Rik
1500015O10Rik	1500015O10Rik
1500017E21Rik	1500017E21Rik
1500026H17Rik	1500026H17Rik
1500035N22Rik	1500035N22Rik
1600002H07Rik	1600002H07Rik
1600002K03Rik	1600002K03Rik
1600012H06Rik	1600012H06Rik
1600014C10Rik	1600014C10Rik
1600020E01Rik	1600020E01Rik
1600023N17Rik	1600023N17Rik
1600029O15Rik	1600029O15Rik
1700001C02Rik	1700001C02Rik
1700001G11Rik	1700001G11Rik
1700001G17Rik	1700001G17Rik
1700001L05Rik	1700001L05Rik
1700001L19Rik	1700001L19Rik
1700001O22Rik	1700001O22Rik
1700001P01Rik	1700001P01Rik
1700003E16Rik	1700003E16Rik
1700003F12Rik	1700003F12Rik
1700003G18Rik	1700003G18Rik
1700003M07Rik	1700003M07Rik
1700006J14Rik	1700006J14Rik
1700007G11Rik	1700007G11Rik
1700007K13Rik	1700007K13Rik
1700007L15Rik	1700007L15Rik
1700008J07Rik	1700008J07Rik
1700008O03Rik	1700008O03Rik
1700010I14Rik	1700010I14Rik
1700010K23Rik	1700010K23Rik
1700011D18Rik	1700011D18Rik
1700011I03Rik	1700011I03Rik
1700012B09Rik	1700012B09Rik
1700012C14Rik	1700012C14Rik
1700012D14Rik	1700012D14Rik
1700013F07Rik	1700013F07Rik
1700015F17Rik	1700015F17Rik
1700016D06Rik	1700016D06Rik
1700016H13Rik	1700016H13Rik
1700016K19Rik	1700016K19Rik
1700016P03Rik	1700016P03Rik
1700017B05Rik	1700017B05Rik
