Gene	Cluster	Signature
Actb	1	Cell_Fate_1
Tmsb4x	1	Cell_Fate_1
Rps14	1	Cell_Fate_1
Rps26	1	Cell_Fate_1
Rps5	1	Cell_Fate_1
Rps24	1	Cell_Fate_1
Rplp1	1	Cell_Fate_1
Cox6b1	1	Cell_Fate_1
Rplp2	1	Cell_Fate_1
Atp5e	1	Cell_Fate_1
Cox4i1	1	Cell_Fate_1
Rpl37	1	Cell_Fate_1
Rps21	1	Cell_Fate_1
Cox6c	1	Cell_Fate_1
Cox8a	1	Cell_Fate_1
Rpl4	1	Cell_Fate_1
Chchd2	1	Cell_Fate_1
Gm11942	1	Cell_Fate_1
Atp5j	1	Cell_Fate_1
Rplp0	1	Cell_Fate_1
Rps3	1	Cell_Fate_1
Uqcrq	1	Cell_Fate_1
Gm8292	1	Cell_Fate_1
Rps19	1	Cell_Fate_1
Ndufc1	1	Cell_Fate_1
Rpl14	1	Cell_Fate_1
Atp5h	1	Cell_Fate_1
Psmb6	1	Cell_Fate_1
Rpl37a	1	Cell_Fate_1
Rpl14-ps1	1	Cell_Fate_1
Rps3a3	1	Cell_Fate_1
Psmb1	1	Cell_Fate_1
Atp5k	1	Cell_Fate_1
Ndufc2	1	Cell_Fate_1
Rps24-ps3	1	Cell_Fate_1
Ndufa13	1	Cell_Fate_1
Ndufa1	1	Cell_Fate_1
Atp5o	1	Cell_Fate_1
Pfdn5	1	Cell_Fate_1
Rpl23	1	Cell_Fate_1
Gm9794	1	Cell_Fate_1
Ndufa6	1	Cell_Fate_1
Rpl26	1	Cell_Fate_1
Ndufa3	1	Cell_Fate_1
Rps25	1	Cell_Fate_1
Eef1a1	1	Cell_Fate_1
Pabpc1	1	Cell_Fate_1
Tomm7	1	Cell_Fate_1
Psma2	1	Cell_Fate_1
Smdt1	1	Cell_Fate_1
Ndufb11	1	Cell_Fate_1
Cfap36	1	Cell_Fate_1
Gm14586	1	Cell_Fate_1
Sec61b	1	Cell_Fate_1
Rps28	1	Cell_Fate_1
Rps13-ps2	1	Cell_Fate_1
Rps26-ps1	1	Cell_Fate_1
Gm6863	1	Cell_Fate_1
Snrpd2	1	Cell_Fate_1
